id	label	description	x	y	cluster	weight<Total  link strength>	weight<No. of pub. (2000-2021)>	weight<No. of pub. CBIII>	weight<No. of pub. CBII>	weight<No. of pub. CB>	weight<No. of pub. (2017-2018)>	weight<No. of pub. CBI>	score<Avg. pub. year>	score<Perc. pub. CB>	score<Perc. pub. CBII>	score<Perc. pub. CBIII>	score<Perc. pub. CBI>
1258	1258	"""<table><tr><td>Micro-level field:</td><td>1258</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physica a-statistical mechanics and its applications; physical review e; european physical journal b; chaos solitons & fractals; journal of economic dynamics & control</td></tr><tr><td>Terms:</td><td>agent; financial market; stock market; detrended fluctuation analysis; minority game</td></tr></table>"""	0.4027	0.4276	3	129988	10519	0	0	0	1175	0	2011.5676	0	0	0	0
1259	1259	"""<table><tr><td>Micro-level field:</td><td>1259</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>maternal and child health journal; american journal of obstetrics and gynecology; journal of maternal-fetal & neonatal medicine; ultrasound in obstetrics & gynecology; bmc pregnancy and childbirth</td></tr><tr><td>Terms:</td><td>maternal smoking; shoulder dystocia; smoking cessation; smoking; pregnant smoker</td></tr></table>"""	-0.751	0.1794	2	208257	10515	0	0	3	1174	3	2012.1608	0.0026	0	0	1
1260	1260	"""<table><tr><td>Micro-level field:</td><td>1260</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>materials science and engineering a-structural materials properties microstructure and processing; rare metal materials and engineering; materials science forum; journal of materials engineering and performance; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>adiabatic shear band; processing map; isothermal compression; hot deformation behavior; constitutive relationship</td></tr></table>"""	0.8045	-0.4314	3	120706	10501	0	0	0	1386	0	2012.6975	0	0	0	0
1261	1261	"""<table><tr><td>Micro-level field:</td><td>1261</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>tetrahedron letters; journal of combinatorial chemistry; organic letters; journal of organic chemistry; tetrahedron</td></tr><tr><td>Terms:</td><td>resin; solid phase peptide synthesis; native chemical ligation; hydantoin; intein</td></tr></table>"""	-0.0206	-0.6698	3	219450	10499	0	0	0	583	0	2008.1674	0	0	0	0
1262	1262	"""<table><tr><td>Micro-level field:</td><td>1262</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>ieee transactions on power delivery; electric power systems research; international journal of electrical power & energy systems; iet generation transmission & distribution; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms:</td><td>fault location; distance relay; high impedance fault detection; wave; optimal coordination</td></tr></table>"""	0.8493	0.2097	5	46477	10485	0	0	0	1792	0	2013.4367	0	0	0	0
1263	1263	"""<table><tr><td>Micro-level field:</td><td>1263</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of constructional steel research; engineering structures; steel and composite structures; journal of structural engineering; thin-walled structures</td></tr><tr><td>Terms:</td><td>steel tubular column; circular concrete; steel tube; composite beam; shear connector</td></tr></table>"""	0.7843	-0.1749	3	60303	10484	0	0	0	1446	0	2013.7571	0	0	0	0
1264	1264	"""<table><tr><td>Micro-level field:</td><td>1264</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of telemedicine and telecare; telemedicine and e-health; studies in health technology and informatics; journal of medical internet research; journal of the american academy of dermatology</td></tr><tr><td>Terms:</td><td>telemedicine; telehealth; teledermatology; telepsychiatry; videoconferencing</td></tr></table>"""	-0.5769	0.4289	2	121419	10479	0	0	0	977	0	2014.1249	0	0	0	0
1265	1265	"""<table><tr><td>Micro-level field:</td><td>1265</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>smart materials and structures; journal of magnetism and magnetic materials; journal of intelligent material systems and structures; physical review e; proceedings of spie</td></tr><tr><td>Terms:</td><td>ferrofluid; magnetic fluid; electrorheological fluid; magnetorheological elastomer; preparation</td></tr></table>"""	0.6297	-0.396	3	97041	10477	0	0	0	1225	0	2011.7625	0	0	0	0
1266	1266	"""<table><tr><td>Micro-level field:</td><td>1266</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>international journal of heat and mass transfer; applied thermal engineering; international journal of thermal sciences; international communications in heat and mass transfer; heat and mass transfer</td></tr><tr><td>Terms:</td><td>tube heat exchanger; air side performance; constructal theory; annular fin; wavy fin</td></tr></table>"""	0.6963	-0.2693	3	105270	10477	0	0	0	1465	0	2013.0494	0	0	0	0
1267	1267	"""<table><tr><td>Micro-level field:</td><td>1267</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>skeletal radiology; clinical orthopaedics and related research; spine; world neurosurgery; journal of craniofacial surgery</td></tr><tr><td>Terms:</td><td>osteoid osteoma; fibrous dysplasia; aneurysmal bone cyst; chordoma; mccune albright syndrome</td></tr></table>"""	-1.0044	-0.1487	2	74592	10476	0	0	0	1081	0	2011.6098	0	0	0	0
1268	1268	"""<table><tr><td>Micro-level field:</td><td>1268</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>pediatric dermatology; journal of craniofacial surgery; journal of the american academy of dermatology; dermatologic surgery; lasers in surgery and medicine</td></tr><tr><td>Terms:</td><td>infantile hemangioma; propranolol; treatment; vascular malformation; head</td></tr></table>"""	-1.0033	-0.1358	2	60558	10475	0	2	2	1102	0	2011.7442	0.0018	1	0	0
1269	1269	"""<table><tr><td>Micro-level field:</td><td>1269</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of experimental biology; aiaa journal; journal of fluid mechanics; journal of aircraft; bioinspiration & biomimetics</td></tr><tr><td>Terms:</td><td>wing; airfoil; flight; low reynolds number; insect</td></tr></table>"""	0.7436	-0.1035	3	96377	10470	0	0	0	1490	0	2013.5357	0	0	0	0
1270	1270	"""<table><tr><td>Micro-level field:</td><td>1270</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of insect physiology; insect biochemistry and molecular biology; peptides; general and comparative endocrinology; archives of insect biochemistry and physiology</td></tr><tr><td>Terms:</td><td>hydroxyecdysone; silkworm; juvenile hormone; ecdysteroid; malpighian tubule</td></tr></table>"""	-0.4729	-0.2157	2	228629	10467	1	8	22	997	17	2010.9537	0.0221	0.3636	0.0455	0.7727
1271	1271	"""<table><tr><td>Micro-level field:</td><td>1271</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review e; physica a-statistical mechanics and its applications; physical review letters; acta physica sinica; chaos</td></tr><tr><td>Terms:</td><td>stochastic resonance; vibrational resonance; ratchet; brownian particle; brownian motor</td></tr></table>"""	0.7547	-0.0023	3	124091	10460	0	0	0	982	0	2010.6709	0	0	0	0
1272	1272	"""<table><tr><td>Micro-level field:</td><td>1272</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>investigative ophthalmology & visual science; retina-the journal of retinal and vitreous diseases; american journal of ophthalmology; graefes archive for clinical and experimental ophthalmology; british journal of ophthalmology</td></tr><tr><td>Terms:</td><td>chronic central serous chorioretinopathy; central retinal artery occlusion; acute macular neuroretinopathy; retinal microvasculature; purtscher</td></tr></table>"""	-0.7813	-0.0774	2	149473	10452	0	0	1	1529	1	2013.9058	0.0007	0	0	1
1273	1273	"""<table><tr><td>Micro-level field:</td><td>1273</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>bioinformatics; metabolic engineering; bmc systems biology; applied microbiology and biotechnology; plos computational biology</td></tr><tr><td>Terms:</td><td>corynebacterium glutamicum; metabolic flux analysis; genome scale metabolic model; flux balance analysis; metabolic network</td></tr></table>"""	-0.4014	-0.2763	4	310954	10435	1	1	4	1231	2	2012.3468	0.0032	0.25	0.25	0.5
1274	1274	"""<table><tr><td>Micro-level field:</td><td>1274</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>experimental and applied acarology; zootaxa; journal of economic entomology; systematic and applied acarology; international journal of acarology</td></tr><tr><td>Terms:</td><td>eriophyoidea; phytoseiidae; wilt virus; tenuipalpidae; thysanoptera</td></tr></table>"""	-0.3031	-0.2277	4	115824	10434	0	1	11	1215	10	2012.2811	0.0091	0.0909	0	0.9091
1275	1275	"""<table><tr><td>Micro-level field:</td><td>1275</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>movement disorders; parkinsonism & related disorders; dermatologic surgery; toxins; neurology</td></tr><tr><td>Terms:</td><td>cervical dystonia; dystonia; botulinum neurotoxin; botulism; blepharospasm</td></tr></table>"""	-0.8068	0.0569	2	127999	10411	0	1	1	996	0	2011.5204	0.001	1	0	0
1276	1276	"""<table><tr><td>Micro-level field:</td><td>1276</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>ceramics international; journal of the european ceramic society; journal of non-crystalline solids; journal of the american ceramic society; construction and building materials</td></tr><tr><td>Terms:</td><td>clay brick; glass ceramic; sewage sludge; lightweight aggregate; waste glass</td></tr></table>"""	0.6778	-0.4609	3	102500	10394	0	1	1	1172	0	2011.8935	0.0009	1	0	0
1277	1277	"""<table><tr><td>Micro-level field:</td><td>1277</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of agricultural and food chemistry; food chemistry; acta horticulturae; european journal of lipid science and technology; journal of the american oil chemists society</td></tr><tr><td>Terms:</td><td>olea europaea l; olive mill wastewater; oleuropein; virgin olive oil; hydroxytyrosol</td></tr></table>"""	-0.4372	-0.3807	4	206008	10382	0	1	1	1414	0	2013.0612	0.0007	1	0	0
1278	1278	"""<table><tr><td>Micro-level field:</td><td>1278</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; ieee conference on decision and control; ieee international conference on systems man and cybernetics conference proceedings; ieee transactions on automatic control; ifac papersonline</td></tr><tr><td>Terms:</td><td>discrete event system; flexible manufacturing system; supervisory control; diagnosability; petri net</td></tr></table>"""	0.6544	0.5458	5	43414	10365	0	0	0	1077	0	2010.6313	0	0	0	0
1279	1279	"""<table><tr><td>Micro-level field:</td><td>1279</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>sensors and actuators b-chemical; chemical communications; analytical chemistry; dyes and pigments; talanta</td></tr><tr><td>Terms:</td><td>biothiol; sulfur dioxide; sulfite; captopril; thiophenol</td></tr></table>"""	-0.1428	-0.499	3	371275	10360	0	1	1	1721	0	2014.4703	0.0006	1	0	0
1280	1280	"""<table><tr><td>Micro-level field:</td><td>1280</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>head and neck-journal for the sciences and specialties of the head and neck; laryngoscope; journal of oral and maxillofacial surgery; diagnostic cytopathology; british journal of oral & maxillofacial surgery</td></tr><tr><td>Terms:</td><td>parotid gland; adenoid cystic carcinoma; salivary gland; pleomorphic adenoma; breast</td></tr></table>"""	-1.0042	-0.1685	2	65350	10358	2	0	2	1147	0	2012.1286	0.0017	0	1	0
1281	1281	"""<table><tr><td>Micro-level field:</td><td>1281</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>proceedings of spie; medical physics; journal of digital imaging; physics in medicine and biology; radiation protection dosimetry</td></tr><tr><td>Terms:</td><td>digital mammography; digital breast tomosynthesis; amorphous selenium; picture archiving; communication system</td></tr></table>"""	-0.4042	0.0746	2	65941	10353	0	0	0	903	0	2010.2275	0	0	0	0
1282	1282	"""<table><tr><td>Micro-level field:</td><td>1282</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>waste management; waste management & research; resources conservation and recycling; journal of cleaner production; sustainability</td></tr><tr><td>Terms:</td><td>municipal solid waste; landfill; solid waste management; landfill leachate; msw</td></tr></table>"""	0.2564	0.0495	4	146305	10353	0	0	0	1564	0	2013.888	0	0	0	0
1283	1283	"""<table><tr><td>Micro-level field:</td><td>1283</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of clinical endocrinology & metabolism; european journal of endocrinology; clinical endocrinology; endocrine-related cancer; surgery</td></tr><tr><td>Terms:</td><td>pheochromocytoma; paraganglioma; adrenocortical carcinoma; laparoscopic adrenalectomy; adrenal incidentaloma</td></tr></table>"""	-0.9739	-0.1627	2	102883	10335	1	1	7	1031	5	2011.7358	0.0068	0.1429	0.1429	0.7143
1284	1284	"""<table><tr><td>Micro-level field:</td><td>1284</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>proceedings of the american mathematical society; calculus of variations and partial differential equations; journal of geometric analysis; journal of functional analysis; journal of mathematical analysis and applications</td></tr><tr><td>Terms:</td><td>ricci flow; optimal transport; monge ampere equation; alexandrov space; wasserstein space</td></tr></table>"""	1.1802	0.1444	5	49914	10330	0	0	0	1339	0	2013.4324	0	0	0	0
1285	1285	"""<table><tr><td>Micro-level field:</td><td>1285</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review a; proceedings of spie; quantum information processing; international journal of theoretical physics; optics express</td></tr><tr><td>Terms:</td><td>continuous variable quantum key distribution; nanowire single photon detector; direct communication; measurement device independent quantum key distribution; cryptanalysis</td></tr></table>"""	1.0084	-0.3412	3	92511	10329	0	0	0	1465	0	2013.8965	0	0	0	0
1286	1286	"""<table><tr><td>Micro-level field:</td><td>1286</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>ieee international symposium on geoscience and remote sensing igarss; ieee transactions on geoscience and remote sensing; remote sensing; remote sensing of environment; ieee journal of selected topics in applied earth observations and remote sensing</td></tr><tr><td>Terms:</td><td>soil moisture; smos; smap; soil water content; loess plateau</td></tr></table>"""	0.3188	0.0341	4	139673	10327	0	0	0	1498	0	2013.3	0	0	0	0
1287	1287	"""<table><tr><td>Micro-level field:</td><td>1287</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>molecules; phytotherapy research; international journal of molecular sciences; plos one; journal of agricultural and food chemistry</td></tr><tr><td>Terms:</td><td>curcumin; effect; synthesis; apoptosis; rat</td></tr></table>"""	-0.6416	-0.3563	2	415047	10325	9	7	19	1586	9	2014.7125	0.012	0.3684	0.4737	0.4737
1288	1288	"""<table><tr><td>Micro-level field:</td><td>1288</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of porphyrins and phthalocyanines; dyes and pigments; polyhedron; russian journal of general chemistry; sensors and actuators b-chemical</td></tr><tr><td>Terms:</td><td>thin film; phthalocyaninato; cobalt; porphyrazine; electrochemistry</td></tr></table>"""	0.4079	-0.6388	3	167665	10316	0	0	0	959	0	2010.7594	0	0	0	0
1289	1289	"""<table><tr><td>Micro-level field:</td><td>1289</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>applied and computational harmonic analysis; journal of fourier analysis and applications; journal of mathematical analysis and applications; international journal of wavelets multiresolution and information processing; proceedings of spie</td></tr><tr><td>Terms:</td><td>uncertainty principle; hilbert space; function; theorem; modulation space</td></tr></table>"""	1.1233	0.1615	5	40032	10315	0	0	0	910	0	2010.71	0	0	0	0
1290	1290	"""<table><tr><td>Micro-level field:</td><td>1290</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>rsc advances; sensors and actuators b-chemical; nanoscale; acs applied materials & interfaces; microchimica acta</td></tr><tr><td>Terms:</td><td>carbon dot; application; synthesis; graphene quantum dot; detection</td></tr></table>"""	0.3175	-0.5746	3	355525	10309	0	0	0	2387	0	2018.0152	0	0	0	0
1291	1291	"""<table><tr><td>Micro-level field:</td><td>1291</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of arthroplasty; clinical orthopaedics and related research; journal of bone and joint surgery-american volume; international orthopaedics; journal of orthopaedic research</td></tr><tr><td>Terms:</td><td>periprosthetic joint infection; stage revision; septic arthritis; chronic osteomyelitis; bone cement</td></tr></table>"""	-0.8699	0.0357	2	159707	10308	0	0	0	1350	0	2013.3883	0	0	0	0
1292	1292	"""<table><tr><td>Micro-level field:</td><td>1292</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>sustainability; land use policy; landscape and urban planning; land; lecture notes in computer science</td></tr><tr><td>Terms:</td><td>cellular automata; agent; urban sprawl; urban expansion; simulation</td></tr></table>"""	0.1125	0.4415	4	238455	10304	0	0	0	1543	0	2013.9194	0	0	0	0
1293	1293	"""<table><tr><td>Micro-level field:</td><td>1293</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources:</td><td>journal of materials processing technology; international journal of advanced manufacturing technology; advanced materials research; aip conference proceedings; key engineering materials</td></tr><tr><td>Terms:</td><td>cross wedge; extrusion process; size effect; cold rolling; hot forging</td></tr></table>"""	0.8135	-0.4004	3	51220	10297	0	0	0	1203	0	2011.6331	0	0	0	0
1294	1294	"""<table><tr><td>Micro-level field:</td><td>1294</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of magnetism and magnetic materials; journal of alloys and compounds; journal of applied physics; ieee transactions on magnetics; journal of rare earths</td></tr><tr><td>Terms:</td><td>nd fe b; magnet; sintered nd fe b magnet; permanent magnet</td></tr></table>"""	0.7932	-0.5411	3	49046	10295	0	0	0	1105	0	2010.7523	0	0	0	0
1295	1295	"""<table><tr><td>Micro-level field:</td><td>1295</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; physical review letters; superconductor science & technology; physica c-superconductivity and its applications; journal of the physical society of japan</td></tr><tr><td>Terms:</td><td>fese; iron pnictide; fe1 xcox; iron pnictide superconductor; lifeas</td></tr></table>"""	0.8225	-0.5605	3	96102	10293	0	0	0	1371	0	2014.0259	0	0	0	0
1296	1296	"""<table><tr><td>Micro-level field:</td><td>1296</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of personality disorders; personality disorders-theory research and treatment; personality and mental health; comprehensive psychiatry; journal of personality assessment</td></tr><tr><td>Terms:</td><td>borderline personality disorder; personality pathology; dialectical behavior therapy; character inventory; mentalization</td></tr></table>"""	-0.4678	0.5844	2	204890	10284	0	1	1	1245	0	2012.63	0.0008	1	0	0
1297	1297	"""<table><tr><td>Micro-level field:</td><td>1297</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of immunology; blood; journal of biological chemistry; journal of leukocyte biology; plos one</td></tr><tr><td>Terms:</td><td>e selectin; pecam; p selectin glycoprotein ligand; platelet endothelial cell adhesion molecule; psgl</td></tr></table>"""	-0.8508	-0.1898	2	322722	10275	3	1	4	497	1	2007.757	0.008	0.25	0.75	0.25
1298	1298	"""<table><tr><td>Micro-level field:</td><td>1298</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of immunological methods; journal of molecular biology; protein engineering design & selection; mabs; plos one</td></tr><tr><td>Terms:</td><td>phage display; phage; nanobody; selection; catalytic antibody</td></tr></table>"""	-0.6872	-0.2955	2	306518	10268	2	2	4	913	2	2010.6705	0.0044	0.5	0.5	0.5
1299	1299	"""<table><tr><td>Micro-level field:</td><td>1299</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>solar energy; aip conference proceedings; international journal of hydrogen energy; energy procedia; renewable energy</td></tr><tr><td>Terms:</td><td>hydrogen production; parabolic trough solar collector; hydrogen; co2; methane</td></tr></table>"""	0.6867	-0.2841	3	124885	10263	0	0	0	1854	0	2014.9041	0	0	0	0
1300	1300	"""<table><tr><td>Micro-level field:</td><td>1300</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biological chemistry; journal of bacteriology; journal of molecular biology; proceedings of the national academy of sciences of the united states of america; biochemistry</td></tr><tr><td>Terms:</td><td>vdac; voltage dependent anion channel; mitochondria; protein translocation; endoplasmic reticulum</td></tr></table>"""	-0.5823	-0.2772	2	343228	10262	1	0	1	899	1	2010.5101	0.0011	0	1	1
1301	1301	"""<table><tr><td>Micro-level field:</td><td>1301</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>proceedings of spie; journal of synchrotron radiation; aip conference proceedings; optics express; nuclear instruments & methods in physics research section a-accelerators spectrometers detectors and associated equipment</td></tr><tr><td>Terms:</td><td>x ray phase contrast; phase retrieval; ptychography; coherent diffractive imaging; dark field</td></tr></table>"""	0.7138	-0.4241	3	123353	10260	0	1	1	1094	0	2011.5892	0.0009	1	0	0
1302	1302	"""<table><tr><td>Micro-level field:</td><td>1302</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; ieee congress on evolutionary computation; ieee transactions on evolutionary computation; applied soft computing; european journal of operational research</td></tr><tr><td>Terms:</td><td>objective optimization; moea d; multi objective evolutionary algorithm; nsga ii; decomposition</td></tr></table>"""	0.6897	0.4229	5	144544	10258	0	1	1	1370	0	2013.2568	0.0007	1	0	0
1303	1303	"""<table><tr><td>Micro-level field:</td><td>1303</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>solar energy materials and solar cells; electrochimica acta; thin solid films; acs applied materials & interfaces; applied surface science</td></tr><tr><td>Terms:</td><td>electrochromic device; wo3; tungsten oxide; moo3; polymer</td></tr></table>"""	0.6089	-0.5806	3	245261	10257	0	2	3	1404	2	2013.3109	0.0021	0.6667	0	0.6667
1304	1304	"""<table><tr><td>Micro-level field:</td><td>1304</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>familial cancer; international journal of cancer; cancer research; plos one; gastroenterology</td></tr><tr><td>Terms:</td><td>lynch syndrome; microsatellite instability; familial adenomatous polyposis; mismatch repair; mlh1</td></tr></table>"""	-0.9155	-0.2069	2	225218	10256	0	3	6	886	5	2010.603	0.0068	0.5	0	0.8333
1305	1305	"""<table><tr><td>Micro-level field:</td><td>1305</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>ieee transactions on antennas and propagation; journal of computational physics; ieee antennas and propagation society international symposium; microwave and optical technology letters; ieee transactions on microwave theory and techniques</td></tr><tr><td>Terms:</td><td>absorbing boundary condition; layer; unbounded domain; maxwell; adi fdtd method</td></tr></table>"""	0.9172	-0.0345	5	55968	10256	0	0	0	884	0	2010.1141	0	0	0	0
1306	1306	"""<table><tr><td>Micro-level field:</td><td>1306</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources:</td><td>physical review e; journal of statistical mechanics-theory and experiment; journal of statistical physics; physica a-statistical mechanics and its applications; physical review letters</td></tr><tr><td>Terms:</td><td>asymmetric simple exclusion process; kardar parisi zhang equation; range process; sandpile model; avalanch</td></tr></table>"""	0.987	-0.0456	3	90093	10252	0	0	1	906	1	2010.0228	0.0011	0	0	1
1307	1307	"""<table><tr><td>Micro-level field:</td><td>1307</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>proceedings of spie; journal of sound and vibration; smart materials and structures; journal of intelligent material systems and structures; composite structures</td></tr><tr><td>Terms:</td><td>active noise control; smart structure; optimal placement; piezoelectric patch; active structural acoustic control</td></tr></table>"""	0.8221	-0.126	3	76702	10249	0	0	0	866	0	2009.8696	0	0	0	0
1308	1308	"""<table><tr><td>Micro-level field:</td><td>1308</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>astrophysical journal; monthly notices of the royal astronomical society; astronomy & astrophysics; aip conference proceedings; astronomical society of the pacific conference series</td></tr><tr><td>Terms:</td><td>crab pulsar; fast radio burst; anomalous x ray pulsar; frb; pulsar timing array</td></tr></table>"""	1.2277	-0.26	3	116444	10237	0	0	0	1040	0	2011.1269	0	0	0	0
1309	1309	"""<table><tr><td>Micro-level field:</td><td>1309</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>cold regions science and technology; permafrost and periglacial processes; arctic antarctic and alpine research; environmental research letters; global change biology</td></tr><tr><td>Terms:</td><td>permafrost region; soil; frozen soil; qinghai tibet plateau; rock glacier</td></tr></table>"""	0.1609	-0.0641	4	226938	10236	0	0	0	1472	0	2013.593	0	0	0	0
1310	1310	"""<table><tr><td>Micro-level field:</td><td>1310</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>urology; bju international; journal of urology; european urology; journal of endourology</td></tr><tr><td>Terms:</td><td>holmium laser enucleation; benign prostatic hyperplasia; prostate; alpha reductase; prostatic artery embolization</td></tr></table>"""	-0.9377	-0.0588	2	112377	10233	0	2	5	983	3	2011.3784	0.0051	0.4	0	0.6
1311	1311	"""<table><tr><td>Micro-level field:</td><td>1311</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; physical review letters; physica c-superconductivity and its applications; applied physics letters; journal of the physical society of japan</td></tr><tr><td>Terms:</td><td>majorana; sr2ruo4; quantum dot; chiral p wave superconductor; proximity effect</td></tr></table>"""	0.8309	-0.5514	3	147154	10231	0	0	0	1260	0	2011.7799	0	0	0	0
1312	1312	"""<table><tr><td>Micro-level field:</td><td>1312</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of eukaryotic microbiology; european journal of protistology; protist; acta protozoologica; molecular biology and evolution</td></tr><tr><td>Terms:</td><td>ciliophora; tetrahymena; protozoa; ciliate; paramecium</td></tr></table>"""	-0.3192	-0.2329	4	313768	10227	5	1	13	1091	10	2011.4826	0.0119	0.0769	0.3846	0.7692
1313	1313	"""<table><tr><td>Micro-level field:</td><td>1313</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>ieee international symposium on geoscience and remote sensing igarss; remote sensing; ieee transactions on geoscience and remote sensing; proceedings of spie; ieee geoscience and remote sensing letters</td></tr><tr><td>Terms:</td><td>land subsidence; insar; sar interferometry; ground deformation; sar tomography</td></tr></table>"""	0.4789	0.0552	4	92873	10225	0	0	0	1462	0	2013.4427	0	0	0	0
1314	1314	"""<table><tr><td>Micro-level field:</td><td>1314</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>statistics in medicine; epidemiology; american journal of epidemiology; biometrics; journal of the american statistical association</td></tr><tr><td>Terms:</td><td>causal effect; propensity score; marginal structural model; mediation analysis; observational data</td></tr></table>"""	-0.5381	0.3681	2	257244	10209	0	0	0	1594	0	2014.5748	0	0	0	0
