id	label	description	x	y	cluster	weight<Total  link strength>	weight<No. of pub. (2000-2021)>	weight<No. of pub. CBIII>	weight<No. of pub. CBII>	weight<No. of pub. CB>	weight<No. of pub. (2017-2018)>	weight<No. of pub. CBI>	score<Avg. pub. year>	score<Perc. pub. CB>	score<Perc. pub. CBII>	score<Perc. pub. CBIII>	score<Perc. pub. CBI>
13	13	"""<table><tr><td>Micro-level field:</td><td>13</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biological chemistry; journal of physiology-london; american journal of physiology-heart and circulatory physiology; cell calcium; american journal of physiology-cell physiology</td></tr><tr><td>Terms:</td><td>na k atpase; inositol; sarcoplasmic reticulum; trisphosphate receptor; cardiac ryanodine receptor</td></tr></table>"""	-0.7856	-0.1593	2	1051613	42442	1	11	13	1500	5	2006.464	0.0087	0.8462	0.0769	0.3846
14	14	"""<table><tr><td>Micro-level field:</td><td>14</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review c; aip conference proceedings; nuclear physics a; european physical journal a; journal of physics conference series</td></tr><tr><td>Terms:</td><td>superheavy element; fission; high; synthesis; lifetime measurement</td></tr></table>"""	1.2033	-0.2818	3	137946	41913	0	0	0	3639	0	2010.271	0	0	0	0
15	15	"""<table><tr><td>Micro-level field:</td><td>15</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; oncotarget; oncology letters; molecular medicine reports; oncology reports</td></tr><tr><td>Terms:</td><td>tumor suppressive microrna; microrna expression; mirna signature; serum mir; drosha</td></tr></table>"""	-0.841	-0.2166	2	1923723	41017	6	15	35	7906	31	2015.4153	0.0044	0.4286	0.1714	0.8857
16	16	"""<table><tr><td>Micro-level field:</td><td>16</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of applied psychology; journal of organizational behavior; leadership quarterly; international journal of human resource management; frontiers in psychology</td></tr><tr><td>Terms:</td><td>ethical leadership; abusive supervision; leader member exchange; organizational justice; team performance</td></tr></table>"""	-0.1347	0.7717	1	906778	40930	0	0	0	5265	0	2013.3059	0	0	0	0
17	17	"""<table><tr><td>Micro-level field:</td><td>17</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of high energy physics; physical review d; nuclear physics b; physics letters b; classical and quantum gravity</td></tr><tr><td>Terms:</td><td>f theory; x s; d brane; ads; orientifold</td></tr></table>"""	1.2361	-0.239	3	270220	40519	0	0	1	3741	1	2010.7609	0.0003	0	0	1
18	18	"""<table><tr><td>Micro-level field:</td><td>18</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>addictive behaviors; addiction; drug and alcohol dependence; alcoholism-clinical and experimental research; substance use & misuse</td></tr><tr><td>Terms:</td><td>alcohol use disorder; alcohol dependence; motivational interviewing; alcohol problem; adolescent substance use</td></tr></table>"""	-0.4904	0.5328	2	679207	40464	0	1	1	4431	0	2011.8115	0.0002	1	0	0
19	19	"""<table><tr><td>Micro-level field:</td><td>19</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; applied surface science; thin solid films; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>zinc oxide thin film; zno nanorod array; zno film; zno nanowires; zinc oxide nanorod</td></tr></table>"""	0.6887	-0.5744	3	759640	39309	0	0	2	4090	2	2012.1529	0.0005	0	0	1
20	20	"""<table><tr><td>Micro-level field:</td><td>20</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; journal of cosmology and astroparticle physics; physics letters b; monthly notices of the royal astronomical society; classical and quantum gravity</td></tr><tr><td>Terms:</td><td>dark energy model; holographic dark energy; wmap; planck; cosmic microwave background</td></tr></table>"""	1.2342	-0.2518	3	479489	38987	0	0	0	4283	0	2012.1525	0	0	0	0
21	21	"""<table><tr><td>Micro-level field:</td><td>21</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>economics letters; applied economics; economic modelling; applied economics letters; journal of money credit and banking</td></tr><tr><td>Terms:</td><td>power parity; unit root; exchange rate pass; optimal monetary policy; fiscal policy</td></tr></table>"""	0.0561	0.7533	1	241502	38819	0	0	0	3891	0	2011.5439	0	0	0	0
22	22	"""<table><tr><td>Micro-level field:</td><td>22</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; journal of medical virology; journal of clinical medicine; frontiers in medicine; scientific reports</td></tr><tr><td>Terms:</td><td>multisystem inflammatory syndrome; tocilizumab; prognosis; hospital mortality; pulmonary embolism</td></tr></table>"""	-0.721	-0.09	2	677489	38537	0	0	0	131	0	2020.4302	0	0	0	0
23	23	"""<table><tr><td>Micro-level field:</td><td>23</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>nicotine & tobacco research; tobacco control; addictive behaviors; addiction; international journal of environmental research and public health</td></tr><tr><td>Terms:</td><td>smoking; smoking cessation; tobacco; effect; prevalence</td></tr></table>"""	-0.6079	0.3082	2	463804	38437	0	1	1	4605	0	2012.755	0.0002	1	0	0
24	24	"""<table><tr><td>Micro-level field:</td><td>24</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>quaternary science reviews; quaternary international; palaeogeography palaeoclimatology palaeoecology; holocene; quaternary research</td></tr><tr><td>Terms:</td><td>last deglaciation; kyr; planktonic foraminifera; southern ocean; orbital</td></tr></table>"""	0.1962	-0.0631	4	748658	38239	0	0	2	3921	2	2011.2405	0.0005	0	0	1
25	25	"""<table><tr><td>Micro-level field:</td><td>25</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of immunology; european journal of immunology; journal of biological chemistry; proceedings of the national academy of sciences of the united states of america; journal of experimental medicine</td></tr><tr><td>Terms:</td><td>j recombination; b cell development; b cell antigen receptor; immunological synapse; lck</td></tr></table>"""	-0.8591	-0.2105	2	1120021	38230	1	1	5	1436	5	2006.6945	0.0035	0.2	0.2	1
26	26	"""<table><tr><td>Micro-level field:</td><td>26</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review a; physical review letters; quantum information processing; international journal of theoretical physics; journal of physics a-mathematical and theoretical</td></tr><tr><td>Terms:</td><td>quantum discord; multipartite entanglement; teleportation; entanglement witness; unbiased base</td></tr></table>"""	1.0085	-0.3415	3	389224	37548	0	0	0	4114	0	2011.9285	0	0	0	0
27	27	"""<table><tr><td>Micro-level field:</td><td>27</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of viral hepatitis; hepatology; journal of hepatology; plos one; journal of virology</td></tr><tr><td>Terms:</td><td>hepatitis c virus genotype; chronic hepatitis c; direct acting antiviral; hcv genotype; ribavirin</td></tr></table>"""	-0.7994	-0.1931	2	499556	37429	22	8	34	4130	19	2011.2609	0.0082	0.2353	0.6471	0.5588
28	28	"""<table><tr><td>Micro-level field:</td><td>28</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>fordham law review; harvard law review; notre dame law review; columbia law review; university of chicago law review</td></tr><tr><td>Terms:</td><td>constitution; judicial review; federalism; supreme court; lawyer</td></tr></table>"""	-0.1617	0.8679	1	149113	37238	0	0	0	3381	0	2010.5082	0	0	0	0
29	29	"""<table><tr><td>Micro-level field:</td><td>29</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>vaccine; plos one; journal of virology; influenza and other respiratory viruses; emerging infectious diseases</td></tr><tr><td>Terms:</td><td>avian influenza; influenza vaccination; h5n1; hemagglutinin; chicken</td></tr></table>"""	-0.6605	-0.1883	2	520675	37038	4	6	11	4104	3	2012.8715	0.0027	0.5455	0.3636	0.2727
30	30	"""<table><tr><td>Micro-level field:</td><td>30</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>key engineering materials; materials science and engineering c-materials for biological applications; journal of materials science-materials in medicine; ceramics international; journal of biomedical materials research part a</td></tr><tr><td>Terms:</td><td>hydroxyapatite coating; vitro bioactivity; sol gel; po4; electrophoretic deposition</td></tr></table>"""	0.2804	-0.4477	3	764788	36593	1	19	24	4138	8	2012.1731	0.0058	0.7917	0.0417	0.3333
31	31	"""<table><tr><td>Micro-level field:</td><td>31</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>astrophysical journal; astronomy & astrophysics; solar physics; journal of geophysical research-space physics; astronomical society of the pacific conference series</td></tr><tr><td>Terms:</td><td>active region; sunspot; solar corona; flare; coronal loop</td></tr></table>"""	1.0282	-0.2473	3	168708	36308	0	0	0	3184	0	2010.6114	0	0	0	0
32	32	"""<table><tr><td>Micro-level field:</td><td>32</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>electrochimica acta; journal of power sources; journal of materials chemistry a; rsc advances; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>high performance supercapacitor; supercapacitor; porous carbon; nitrogen; graphene</td></tr></table>"""	0.6085	-0.5657	3	1050472	36281	0	5	5	7803	0	2016.6536	0.0006	1	0	0
33	33	"""<table><tr><td>Micro-level field:</td><td>33</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of urology; bju international; urology; european urology; international journal of radiation oncology biology physics</td></tr><tr><td>Terms:</td><td>prostate biopsy; active surveillance; robot; laparoscopic radical prostatectomy; brachytherapy</td></tr></table>"""	-0.9311	-0.1455	2	464546	36211	0	0	1	4168	1	2012.1833	0.0002	0	0	1
34	34	"""<table><tr><td>Micro-level field:</td><td>34</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>psychopharmacology; journal of neuroscience; pharmacology biochemistry and behavior; neuropsychopharmacology; behavioural brain research</td></tr><tr><td>Terms:</td><td>cocaine self administration; shell; methamphetamine; behavioral sensitization; cocaine</td></tr></table>"""	-0.698	0.0349	2	1109397	35937	1	30	32	2813	3	2009.8179	0.0114	0.9375	0.0312	0.0938
35	35	"""<table><tr><td>Micro-level field:</td><td>35</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of asthma; journal of allergy and clinical immunology; respiratory medicine; european respiratory journal; annals of allergy asthma & immunology</td></tr><tr><td>Terms:</td><td>acute asthma; severe asthma; asthma management; chronic asthma; metered dose inhaler</td></tr></table>"""	-0.8135	-0.1266	2	637379	35670	9	11	24	3040	13	2010.2307	0.0079	0.4583	0.375	0.5417
36	36	"""<table><tr><td>Micro-level field:</td><td>36</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied catalysis b-environmental; applied surface science; rsc advances; chemical engineering journal; international journal of hydrogen energy</td></tr><tr><td>Terms:</td><td>graphitic carbon nitride; c3n4; z scheme; c3n4 nanosheet; bi2wo6</td></tr></table>"""	0.6011	-0.5758	3	1177813	35537	0	2	4	7473	3	2017.2493	0.0005	0.5	0	0.75
37	37	"""<table><tr><td>Micro-level field:</td><td>37</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>electrochimica acta; journal of power sources; journal of materials chemistry a; acs applied materials & interfaces; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>high performance sodium ion battery; sodium storage; binder free anode; battery anode</td></tr></table>"""	0.6177	-0.5698	3	984601	35524	0	0	0	7365	0	2016.4807	0	0	0	0
38	38	"""<table><tr><td>Micro-level field:</td><td>38</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>microwave and optical technology letters; ieee antennas and propagation society international symposium; ieee transactions on antennas and propagation; ieee antennas and wireless propagation letters; electronics letters</td></tr><tr><td>Terms:</td><td>uwb antenna; monopole antenna; pifa; mobile terminal; mobile handset</td></tr></table>"""	0.9754	0.0605	5	109386	35217	0	0	0	5535	0	2013.2352	0	0	0	0
39	39	"""<table><tr><td>Micro-level field:</td><td>39</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of corporate finance; accounting review; contemporary accounting research; journal of financial economics; journal of banking & finance</td></tr><tr><td>Terms:</td><td>earnings management; audit quality; director; ceo; audit fee</td></tr></table>"""	0.0357	0.7749	1	387563	34880	0	0	0	4780	0	2013.5867	0	0	0	0
